proname,args,security_definer,config,body_md5,acl
admin_review_payment,"p_payment_id uuid, p_approved boolean, p_reason text",true,"[""search_path=pg_catalog, public, auth""]",c0ef5f06b8ee47788825480cf56cfc03,"{postgres=X/postgres,authenticated=X/postgres,service_role=X/postgres}"
apply_delivery_reservation,"p_shipment_item_id uuid, p_order_item_id uuid, p_lot_id uuid, p_buyer_organization_id uuid, p_planned_quantity_kg numeric",true,"[""search_path=pg_catalog, public, auth""]",4aa0a7c7dd8e39bc12a1d36b63dc21cc,"{postgres=X/postgres,service_role=X/postgres}"
assert_order_checkout_ready,p_order_id uuid,true,"[""search_path=pg_catalog, public, auth""]",3fdf75efa63d36c9a73ae161382f8d18,"{postgres=X/postgres,authenticated=X/postgres,service_role=X/postgres}"
can_view_order,p_order_id uuid,true,"[""search_path=pg_catalog, public, auth""]",eef50520051e17d1f16985517158b825,"{postgres=X/postgres,authenticated=X/postgres,service_role=X/postgres}"
checkout_order,p_order_id uuid,true,"[""search_path=pg_catalog, public, auth""]",75e07c357ea33a980fd695a271d8e708,"{postgres=X/postgres,authenticated=X/postgres,service_role=X/postgres}"
expire_order_hold,p_order_id uuid,true,"[""search_path=pg_catalog, public, auth""]",e5b8f4ee0c35948c6e582f2a9d3c0288,"{postgres=X/postgres,authenticated=X/postgres,service_role=X/postgres}"
ingest_stripe_event,"p_provider text, p_external_event_id text, p_event_type text, p_payment_id uuid, p_payload jsonb, p_funding_confirmed boolean",true,"[""search_path=pg_catalog, public, auth""]",24b07aec287202b8b0bdee28f13464a6,"{postgres=X/postgres,service_role=X/postgres}"
is_auditor,,true,"[""search_path=pg_catalog, public, auth""]",f36329eb0a4434741f10a1b40caedbee,"{postgres=X/postgres,authenticated=X/postgres,service_role=X/postgres}"
is_authorized_member,,true,"[""search_path=pg_catalog, public, auth""]",c291fc30a55def8b8c2661f50ccd6397,"{postgres=X/postgres,authenticated=X/postgres,service_role=X/postgres}"
is_blocked_user,,true,"[""search_path=pg_catalog, public, auth""]",31afcbd22502f1104218d1550c3e65f6,"{postgres=X/postgres,authenticated=X/postgres,service_role=X/postgres}"
is_finance_operator,,true,"[""search_path=pg_catalog, public, auth""]",fb45aae21a7484d81056038c3ef02ae0,"{postgres=X/postgres,authenticated=X/postgres,service_role=X/postgres}"
is_org_member,p_organization_id uuid,true,"[""search_path=pg_catalog, public, auth""]",696877b4b7ba36b23ed586c952e05468,"{postgres=X/postgres,authenticated=X/postgres,service_role=X/postgres}"
