tablename,policyname,permissive,roles,cmd,qual,with_check
inventory_reservations,reservations_admin,PERMISSIVE,{public},ALL,is_platform_admin(),is_platform_admin()
notification_deliveries,notification_deliveries_admin,PERMISSIVE,{authenticated},ALL,is_platform_admin(),is_platform_admin()
notification_deliveries,notification_deliveries_view,PERMISSIVE,{authenticated},SELECT,"(EXISTS ( SELECT 1
   FROM notifications n
  WHERE ((n.id = notification_deliveries.notification_id) AND ((n.user_id = auth.uid()) OR is_platform_admin()))))",null
notification_preferences,notification_preferences_own,PERMISSIVE,{public},ALL,(user_id = auth.uid()),(user_id = auth.uid())
notifications,notifications_own,PERMISSIVE,{public},SELECT,((user_id = auth.uid()) OR is_platform_admin()),null
order_financials,financials_finance_read,PERMISSIVE,{authenticated},SELECT,(is_finance_operator() OR is_auditor()),null
order_financials,financials_view,PERMISSIVE,{public},SELECT,can_view_order(order_id),null
order_items,order_items_admin,PERMISSIVE,{public},ALL,is_platform_admin(),is_platform_admin()
order_items,order_items_create_buyer,PERMISSIVE,{public},INSERT,null,"(EXISTS ( SELECT 1
   FROM orders o
  WHERE ((o.id = order_items.order_id) AND (o.status = 'DRAFT'::text) AND is_org_member(o.buyer_organization_id))))"
order_items,order_items_view,PERMISSIVE,{public},SELECT,can_view_order(order_id),null
order_shipments,shipments_buyer_draft_update,PERMISSIVE,{authenticated},UPDATE,"((status = 'DRAFT'::text) AND (EXISTS ( SELECT 1
   FROM (orders o
     JOIN organization_members om ON ((om.organization_id = o.buyer_organization_id)))
  WHERE ((o.id = order_shipments.order_id) AND (om.user_id = auth.uid()) AND (om.is_active = true)))))","(status = ANY (ARRAY['DRAFT'::text, 'REQUESTED'::text, 'CANCELLED'::text]))"
order_shipments,shipments_buyer_insert,PERMISSIVE,{authenticated},INSERT,null,"((status = 'DRAFT'::text) AND (created_by = auth.uid()) AND (EXISTS ( SELECT 1
   FROM (orders o
     JOIN organization_members om ON ((om.organization_id = o.buyer_organization_id)))
  WHERE ((o.id = order_shipments.order_id) AND (om.user_id = auth.uid()) AND (om.is_active = true)))))"
order_shipments,shipments_view,PERMISSIVE,{authenticated},SELECT,(can_view_order(order_id) OR is_warehouse_operator()),null
order_shipments,shipments_warehouse_manage,PERMISSIVE,{authenticated},ALL,is_warehouse_operator(),is_warehouse_operator()
orders,orders_create_buyer,PERMISSIVE,{authenticated},INSERT,null,(is_org_member(buyer_organization_id) AND organization_can_buy(buyer_organization_id) AND (created_by = auth.uid()) AND (status = 'DRAFT'::text) AND (NOT is_blocked_user()))
orders,orders_update_buyer_or_admin,PERMISSIVE,{public},UPDATE,"(is_platform_admin() OR (is_org_member(buyer_organization_id) AND (status = ANY (ARRAY['DRAFT'::text, 'CONFIRMED'::text]))))",(is_platform_admin() OR is_org_member(buyer_organization_id))
