table_name,tgname,function_name,tgenabled
coffee_offers,trg_audit_offers,write_audit_log,O
coffee_offers,trg_coffee_offers_inventory_hold_guard,guard_offer_inventory_hold,O
coffee_offers,trg_listing_status_history,record_listing_status_history,O
coffee_offers,trg_offer_transition,validate_offer_transition,O
coffee_offers,trg_offers_updated_at,set_updated_at,O
inventory_positions,trg_audit_inventory_positions,write_audit_log,O
inventory_positions,trg_inventory_location,validate_inventory_location,O
inventory_positions,trg_inventory_positions_hold_guard,guard_inventory_position_hold,O
inventory_positions,trg_positions_updated_at,set_updated_at,O
order_items,trg_order_item_offer,validate_order_item_offer,O
order_items,trg_order_items_updated_at,set_updated_at,O
order_shipments,trg_order_shipments_inventory_hold_guard,guard_shipment_inventory_hold,O
order_shipments,trg_shipment_ready,sync_shipment_ready,O
order_shipments,trg_shipment_transition,validate_shipment_transition,O
order_shipments,trg_shipments_updated_at,set_updated_at,O
orders,trg_audit_orders,write_audit_log,O
orders,trg_order_status_history,record_order_status_history,O
orders,trg_order_transition,validate_order_transition,O
orders,trg_orders_updated_at,set_updated_at,O
payment_accounts,trg_audit_payment_accounts,write_audit_log_payment_accounts,O
payment_accounts,trg_payment_accounts_updated_at,set_updated_at,O
payments,trg_audit_payments,write_audit_log,O
payments,trg_payments_updated_at,set_updated_at,O
payouts,trg_audit_payouts,write_audit_log,O
proforma_invoices,trg_proforma_invoices_updated_at,set_updated_at,O
shipment_items,trg_shipment_item_validate,validate_shipment_item,O
